Market Place,Account Holder,Account,Psp Reference,Payment Psp Reference,Payment Merchant Reference,Capture Psp Reference,Capture Merchant Reference,Payout Psp Reference,Chargeback Psp Reference,Booking Date,TimeZone,Description,Main Currency,Main Amount,Record Type,Balance Currency,Pending (BC),Balance (BC),Exchange Rate,Bank account details,US State,Refund terms,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016324673243648,853632467255093H,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-5nf0L6Ud6BzonPfiN5xK5Z,883632467256020G,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-5nf0L6Ud6BzonPfiN5xK5Z-capture,,,2021-09-24 0:08:45,PDT,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-5nf0L6Ud6BzonPfiN5xK5Z-capture,USD,11,PendingCredit,USD,11,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016324673253662,853632467255093H,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-5nf0L6Ud6BzonPfiN5xK5Z,853632467256139H,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-0jE8YVmy7LaVmxMRKES8Yq,,,2021-09-24 0:08:45,PDT,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-0jE8YVmy7LaVmxMRKES8Yq,USD,-11,PendingDebit,USD,-11,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016324673250403,883632467272504K,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-7U9wWNqbatnWROkQY4kIWF,883632467272511E,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-7U9wWNqbatnWROkQY4kIWF-capture,,,2021-09-24 0:08:45,PDT,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-7U9wWNqbatnWROkQY4kIWF-capture,USD,11,PendingCredit,USD,11,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016324673743506,822632467304940F,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-53zHekngAi4suj0mQCJJch,852632467305353H,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-53zHekngAi4suj0mQCJJch-capture,,,2021-09-24 0:09:35,PDT,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-53zHekngAi4suj0mQCJJch-capture,USD,20.02,PendingCredit,USD,20.02,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016324674173166,863632467408585H,GatewayTestSuite-23yyKpUVEM4LaVppB4xppd,8036324674113739,<auto>,,,2021-09-24 0:10:17,PDT,Payment with empty split data - Payment with empty split data,USD,-22,PendingDebit,USD,-22,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016324674171764,863632467358480B,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-1ceBtSFE1okU6Yz1QCTAz5,863632467359484C,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-1ceBtSFE1okU6Yz1QCTAz5-capture,,,2021-09-24 0:10:17,PDT,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-1ceBtSFE1okU6Yz1QCTAz5-capture,USD,20.02,PendingCredit,USD,20.02,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016324674213285,862632467407575B,GatewayTestSuite-4LJjZtfu4rp4eFRYPxSaft,8026324674172356,<auto>,,,2021-09-24 0:10:21,PDT,Payment with empty split data - Payment with empty split data,USD,-21,PendingDebit,USD,-21,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016324674213293,862632467407582H,GatewayTestSuite-7mgUEOlkUDtXWQehfwVFco,8026324674172364,<auto>,,,2021-09-24 0:10:21,PDT,Payment with empty split data - Payment with empty split data,USD,-11,PendingDebit,USD,-11,0,,,,,,,,,,
AffiniPayLLC,GatewayTestSuite,8.51608E+15,8016324674320361,823632467369653E,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-0Bk7gO56dFjjvHmcZoicSP,883632467370914B,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-0Bk7gO56dFjjvHmcZoicSP-capture,,,2021-09-24 0:10:33,PDT,7QDcFGFSEegw6InfMIgsSA-5FWVRoLKlavL9CQdx9skos-0Bk7gO56dFjjvHmcZoicSP-capture,USD,11,PendingCredit,USD,11,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016324674631551,863632467405355J,GatewayTestSuite-3S4Dj5QHFphxU8Vl2BWgnf,883632467405086H,GatewayTestSuite-29zjxVmHG3yAZRe1jZxcXN,,,2021-09-24 0:11:03,PDT,GatewayTestSuite-29zjxVmHG3yAZRe1jZxcXN,USD,-21,PendingDebit,USD,-21,0,,,,,,,,,,
AffiniPayLLC,LiableAccountHolderAffiniPayLLC,141562167,8016324674632898,853632467408301A,GatewayTestSuite-1SY2JsOBpYVjPUp6sgu2Ne,863632467409274H,GatewayTestSuite-29Z25nD0U5C6R979TPJnEF,,,2021-09-24 0:11:03,PDT,GatewayTestSuite-29Z25nD0U5C6R979TPJnEF,USD,-20.01,PendingDebit,USD,-20.01,0,,,,,,,,,,
